Epoch 200 | Train Loss: 23.6611 | Val Loss: 419.8714 | Val MAE: 14.6004
Epoch 201 | Train Loss: 24.1721 | Val Loss: 412.7283 | Val MAE: 14.6821
Epoch 202 | Train Loss: 28.8522 | Val Loss: 466.1961 | Val MAE: 16.2811
Epoch 203 | Train Loss: 43.8727 | Val Loss: 382.8839 | Val MAE: 14.2748
Epoch 204 | Train Loss: 40.1023 | Val Loss: 456.3803 | Val MAE: 15.8508
Epoch 205 | Train Loss: 30.9560 | Val Loss: 384.9200 | Val MAE: 14.0286
Epoch 206 | Train Loss: 24.9005 | Val Loss: 357.6090 | Val MAE: 14.4233
Epoch 207 | Train Loss: 25.0127 | Val Loss: 390.5549 | Val MAE: 15.0247
Epoch 208 | Train Loss: 23.5007 | Val Loss: 392.6342 | Val MAE: 15.0090
Epoch 209 | Train Loss: 24.1460 | Val Loss: 390.8614 | Val MAE: 15.0249
Epoch 210 | Train Loss: 23.8025 | Val Loss: 380.6146 | Val MAE: 14.5956
Epoch 211 | Train Loss: 24.4403 | Val Loss: 392.3462 | Val MAE: 14.6333
Epoch 212 | Train Loss: 24.2108 | Val Loss: 408.3886 | Val MAE: 14.8731
Epoch 213 | Train Loss: 25.1522 | Val Loss: 405.5142 | Val MAE: 14.9190
Epoch 214 | Train Loss: 26.0680 | Val Loss: 408.3704 | Val MAE: 14.9127
Epoch 215 | Train Loss: 23.8840 | Val Loss: 413.8511 | Val MAE: 14.8938
Epoch 216 | Train Loss: 23.5295 | Val Loss: 392.9664 | Val MAE: 14.7838
Epoch 217 | Train Loss: 23.1459 | Val Loss: 420.7878 | Val MAE: 15.0438
Epoch 218 | Train Loss: 23.3043 | Val Loss: 414.1072 | Val MAE: 14.9892
Epoch 219 | Train Loss: 23.0631 | Val Loss: 425.8778 | Val MAE: 15.2632
Epoch 220 | Train Loss: 23.0267 | Val Loss: 429.8789 | Val MAE: 15.4536
Epoch 221 | Train Loss: 23.5456 | Val Loss: 427.2008 | Val MAE: 14.8824
Epoch 222 | Train Loss: 22.8914 | Val Loss: 423.8334 | Val MAE: 14.8744
Epoch 223 | Train Loss: 22.7745 | Val Loss: 427.8380 | Val MAE: 14.9050
Epoch 224 | Train Loss: 22.5194 | Val Loss: 427.6920 | Val MAE: 15.0336
Epoch 225 | Train Loss: 22.8268 | Val Loss: 434.0241 | Val MAE: 15.3029
Epoch 226 | Train Loss: 22.7077 | Val Loss: 430.1056 | Val MAE: 14.9884
Epoch 227 | Train Loss: 23.0566 | Val Loss: 438.8799 | Val MAE: 15.3099
Epoch 228 | Train Loss: 22.4956 | Val Loss: 430.3857 | Val MAE: 14.9950
Epoch 229 | Train Loss: 23.6970 | Val Loss: 420.4502 | Val MAE: 14.5035
Epoch 230 | Train Loss: 23.2713 | Val Loss: 431.5375 | Val MAE: 14.9783
Epoch 231 | Train Loss: 22.7119 | Val Loss: 440.3267 | Val MAE: 15.0546
Epoch 232 | Train Loss: 22.3514 | Val Loss: 437.2444 | Val MAE: 15.2481
Epoch 233 | Train Loss: 23.1692 | Val Loss: 453.2356 | Val MAE: 15.5831
Epoch 234 | Train Loss: 22.2250 | Val Loss: 435.3668 | Val MAE: 15.1114
Epoch 235 | Train Loss: 22.6090 | Val Loss: 434.8463 | Val MAE: 14.8018
Epoch 236 | Train Loss: 22.4082 | Val Loss: 431.9550 | Val MAE: 14.7010
Epoch 237 | Train Loss: 22.3418 | Val Loss: 440.2348 | Val MAE: 14.9447
Epoch 238 | Train Loss: 22.2010 | Val Loss: 438.8220 | Val MAE: 15.0297
Epoch 239 | Train Loss: 23.2140 | Val Loss: 444.1301 | Val MAE: 15.4503
Epoch 240 | Train Loss: 23.2766 | Val Loss: 441.3538 | Val MAE: 15.0077
Epoch 241 | Train Loss: 22.1764 | Val Loss: 440.4820 | Val MAE: 15.0456
Epoch 242 | Train Loss: 22.7728 | Val Loss: 451.0819 | Val MAE: 15.3791
Epoch 243 | Train Loss: 23.4962 | Val Loss: 451.2793 | Val MAE: 15.6375
